job_id,job_title,job_category,experience_level,education_required,required_skills,industry,remote_work,company_size,salary_tier,source_dataset,document
JOB0001,AI Agent Developer,AI Engineering,Senior (6-9 yrs),Master's,"APIs, Planning Systems, Python, Cloud, SQL, Leadership",Finance,On-site,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Agent Developer. Category: AI Engineering. Experience Level: Senior (6-9 yrs). Education Required: Master's. Required Skills: APIs, Planning Systems, Python, Cloud, SQL, Leadership. Industry: Finance. Remote Work: On-site. Company Size: Startup (1-50). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0002,Prompt Engineer,AI Engineering,Senior (6-9 yrs),Bachelor's,"Python, Documentation, LLM APIs, Prompt Design, NLP, Testing, Cloud",Finance,Hybrid,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: Prompt Engineer. Category: AI Engineering. Experience Level: Senior (6-9 yrs). Education Required: Bachelor's. Required Skills: Python, Documentation, LLM APIs, Prompt Design, NLP, Testing, Cloud. Industry: Finance. Remote Work: Hybrid. Company Size: Enterprise (5000+). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0003,LLM Engineer,AI Engineering,Senior (6-9 yrs),Associate's,"Vector DBs, Python, Prompt Engineering, Fine-tuning, Agile",Finance,Fully Remote,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle),"Job Title: LLM Engineer. Category: AI Engineering. Experience Level: Senior (6-9 yrs). Education Required: Associate's. Required Skills: Vector DBs, Python, Prompt Engineering, Fine-tuning, Agile. Industry: Finance. Remote Work: Fully Remote. Company Size: Big Tech (FAANG+). Salary Tier: Elite (>$300k). Source: AI Engineering (Kaggle)."
JOB0004,Data Engineer (AI),Data Engineering,Senior (6-9 yrs),Bachelor's,"Feature Stores, Spark, ETL, Airflow, dbt, SQL, Python, Statistics, Communication",Technology,Fully Remote,SME (51-500),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: Data Engineer (AI). Category: Data Engineering. Experience Level: Senior (6-9 yrs). Education Required: Bachelor's. Required Skills: Feature Stores, Spark, ETL, Airflow, dbt, SQL, Python, Statistics, Communication. Industry: Technology. Remote Work: Fully Remote. Company Size: SME (51-500). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0005,AI Product Manager,Product,Lead (10+ yrs),Bootcamp/Self-taught,"Data Analysis, Stakeholder Mgmt, Agile, Cloud, Problem Solving, Statistics",Automotive,Fully Remote,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: AI Product Manager. Category: Product. Experience Level: Lead (10+ yrs). Education Required: Bootcamp/Self-taught. Required Skills: Data Analysis, Stakeholder Mgmt, Agile, Cloud, Problem Solving, Statistics. Industry: Automotive. Remote Work: Fully Remote. Company Size: Enterprise (5000+). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0006,AI Agent Developer,AI Engineering,Entry (0-2 yrs),Bootcamp/Self-taught,"Planning Systems, Python, APIs, AutoGen, LangChain, Statistics, Git, Agile",Government,On-site,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: AI Agent Developer. Category: AI Engineering. Experience Level: Entry (0-2 yrs). Education Required: Bootcamp/Self-taught. Required Skills: Planning Systems, Python, APIs, AutoGen, LangChain, Statistics, Git, Agile. Industry: Government. Remote Work: On-site. Company Size: Enterprise (5000+). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0007,AI Security Engineer,Security,Mid (3-5 yrs),Master's,"Risk Analysis, Cybersecurity, Python, ML Security, Red Teaming, Git",Manufacturing,Fully Remote,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle),"Job Title: AI Security Engineer. Category: Security. Experience Level: Mid (3-5 yrs). Education Required: Master's. Required Skills: Risk Analysis, Cybersecurity, Python, ML Security, Red Teaming, Git. Industry: Manufacturing. Remote Work: Fully Remote. Company Size: Mid-size (501-5000). Salary Tier: Upper-Mid ($150-200k). Source: AI Engineering (Kaggle)."
JOB0008,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),Master's,"LLM Fine-tuning, Distributed Systems, MLOps, Python, System Design, Agile, Cloud, Statistics",Education,Fully Remote,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle),"Job Title: Senior ML Engineer. Category: AI Engineering. Experience Level: Mid (3-5 yrs). Education Required: Master's. Required Skills: LLM Fine-tuning, Distributed Systems, MLOps, Python, System Design, Agile, Cloud, Statistics. Industry: Education. Remote Work: Fully Remote. Company Size: Startup (1-50). Salary Tier: Senior ($200-300k). Source: AI Engineering (Kaggle)."
JOB0009,NLP Engineer,AI Engineering,Entry (0-2 yrs),Bachelor's,"Python, Text Processing, BERT, Hugging Face, Communication, Agile, Research",Automotive,Hybrid,SME (51-500),Mid ($100-150k),AI Engineering (Kaggle),"Job Title: NLP Engineer. Category: AI Engineering. Experience Level: Entry (0-2 yrs). Education Required: Bachelor's. Required Skills: Python, Text Processing, BERT, Hugging Face, Communication, Agile, Research. Industry: Automotive. Remote Work: Hybrid. Company Size: SME (51-500). Salary Tier: Mid ($100-150k). Source: AI Engineering (Kaggle)."
JOB0010,Prompt Engineer,AI Engineering,Entry (0-2 yrs),Bootcamp/Self-taught,"Documentation, Prompt Design, Testing, NLP, LLM APIs, Python, Communication",Automotive,On-site,Startup (1-50),Entry (<$100k),AI Engineering (Kaggle),"Job Title: Prompt Engineer. Category: AI Engineering. Experience Level: Entry (0-2 yrs). Education Required: Bootcamp/Self-taught. Required Skills: Documentation, Prompt Design, Testing, NLP, LLM APIs, Python, Communication. Industry: Automotive. Remote Work: On-site. Company Size: Startup (1-50). Salary Tier: Entry (<$100k). Source: AI Engineering (Kaggle)."
