job_id,job_title,job_category,experience_level,education_required,required_skills,industry,remote_work,company_size,salary_tier,source_dataset
JOB0001,AI Agent Developer,AI Engineering,Senior (6-9 yrs),Master's,APIs|Planning Systems|Python|Cloud|SQL|Leadership,Finance,On-site,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle)
JOB0002,Prompt Engineer,AI Engineering,Senior (6-9 yrs),Bachelor's,Python|Documentation|LLM APIs|Prompt Design|NLP|Testing|Cloud,Finance,Hybrid,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0003,LLM Engineer,AI Engineering,Senior (6-9 yrs),Associate's,Vector DBs|Python|Prompt Engineering|Fine-tuning|Agile,Finance,Fully Remote,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle)
JOB0004,Data Engineer (AI),Data Engineering,Senior (6-9 yrs),Bachelor's,Feature Stores|Spark|ETL|Airflow|dbt|SQL|Python|Statistics|SQL|Communication,Technology,Fully Remote,SME (51-500),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0005,AI Product Manager,Product,Lead (10+ yrs),Bootcamp/Self-taught,Data Analysis|Stakeholder Mgmt|Agile|Cloud|Problem Solving|Statistics,Automotive,Fully Remote,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0006,AI Agent Developer,AI Engineering,Entry (0-2 yrs),Bootcamp/Self-taught,Planning Systems|Python|APIs|AutoGen|LangChain|Statistics|Git|Agile,Government,On-site,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0007,AI Security Engineer,Security,Mid (3-5 yrs),Master's,Risk Analysis|Cybersecurity|Python|ML Security|Red Teaming|Git,Manufacturing,Fully Remote,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0008,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),Master's,LLM Fine-tuning|Distributed Systems|MLOps|Python|System Design|Agile|Cloud|Statistics,Education,Fully Remote,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle)
JOB0009,NLP Engineer,AI Engineering,Entry (0-2 yrs),Bachelor's,Python|Text Processing|BERT|Hugging Face|Communication|Agile|Research,Automotive,Hybrid,SME (51-500),Mid ($100-150k),AI Engineering (Kaggle)
JOB0010,Prompt Engineer,AI Engineering,Entry (0-2 yrs),Bootcamp/Self-taught,Documentation|Prompt Design|Testing|NLP|LLM APIs|Python|Communication,Automotive,On-site,Startup (1-50),Entry (<$100k),AI Engineering (Kaggle)
JOB0011,AI Solutions Architect,Architecture,Entry (0-2 yrs),Associate's,Cloud|Python|Leadership|Enterprise Architecture|Cloud,Technology,On-site,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0012,Prompt Engineer,AI Engineering,Mid (3-5 yrs),Master's,Documentation|Python|Prompt Design|Problem Solving,Education,Hybrid,Enterprise (5000+),Mid ($100-150k),AI Engineering (Kaggle)
JOB0013,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),Bootcamp/Self-taught,LLM Fine-tuning|Python|MLOps|Problem Solving|Leadership|Statistics,Retail,On-site,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0014,AI Solutions Architect,Architecture,Entry (0-2 yrs),Bootcamp/Self-taught,System Design|Leadership|Cloud|Agile|Linux|Statistics,Finance,Fully Remote,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0015,AI Agent Developer,AI Engineering,Senior (6-9 yrs),Bachelor's,Python|APIs|LangChain|Tool Use|AutoGen|Communication|Statistics|Problem Solving,Consulting,Hybrid,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle)
JOB0016,AI Agent Developer,AI Engineering,Entry (0-2 yrs),Bachelor's,LangChain|Tool Use|Planning Systems|AutoGen|Python|Git,Research,Fully Remote,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0017,ML Engineer,AI Engineering,Entry (0-2 yrs),PhD,TensorFlow|Kubernetes|MLOps|Linux|Communication|Problem Solving,Healthcare,Fully Remote,Mid-size (501-5000),Mid ($100-150k),AI Engineering (Kaggle)
JOB0018,Generative AI Engineer,AI Engineering,Mid (3-5 yrs),Bachelor's,GenAI APIs|Deployment|Diffusion Models|LLMs|Fine-tuning|Python|SQL,Consulting,On-site,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0019,AI Security Engineer,Security,Senior (6-9 yrs),Bachelor's,Risk Analysis|Python|Cybersecurity|Problem Solving,Government,Hybrid,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0020,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),Bachelor's,Neural Networks|Python|TensorFlow|CUDA|PyTorch|Git|Agile|Leadership,Consulting,Hybrid,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0021,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),Bootcamp/Self-taught,PyTorch|Vision-Language Models|APIs|Fine-tuning|Research|Problem Solving,Consulting,On-site,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle)
JOB0022,MLOps Engineer,ML Operations,Senior (6-9 yrs),Bachelor's,Monitoring|Docker|Kubernetes|MLflow|SQL,Technology,On-site,Big Tech (FAANG+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0023,AI Business Analyst,Business,Lead (10+ yrs),Bootcamp/Self-taught,SQL|Communication|Python|Data Visualization|Business Analysis|Leadership|Research|SQL,Media,On-site,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0024,RAG Engineer,AI Engineering,Lead (10+ yrs),Associate's,Embeddings|LLMs|Vector DBs|Search Systems|LangChain|Python|Communication|Agile|Research,Finance,Fully Remote,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0025,NLP Engineer,AI Engineering,Mid (3-5 yrs),Bachelor's,LLMs|Python|Transformers|Text Processing|BERT|Hugging Face|Cloud|Research|SQL,Manufacturing,Hybrid,SME (51-500),Mid ($100-150k),AI Engineering (Kaggle)
JOB0026,Robotics Engineer (AI),Robotics,Lead (10+ yrs),Master's,Computer Vision|C++|Simulation|Linux|Research|Problem Solving,Energy,Hybrid,SME (51-500),Mid ($100-150k),AI Engineering (Kaggle)
JOB0027,Senior Data Scientist,Data Science,Entry (0-2 yrs),PhD,Causal Inference|Leadership|ML|Advanced Statistics|Deep Learning|Python|Research,Technology,Fully Remote,SME (51-500),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0028,ML Engineer,AI Engineering,Mid (3-5 yrs),Bachelor's,MLOps|Python|PyTorch|SQL|Agile|Statistics|Linux,Energy,Hybrid,SME (51-500),Senior ($200-300k),AI Engineering (Kaggle)
JOB0029,AI Business Analyst,Business,Lead (10+ yrs),Bootcamp/Self-taught,Communication|Python|SQL|Agile|Git|SQL,Manufacturing,Hybrid,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle)
JOB0030,AI Ethics Officer,Governance,Senior (6-9 yrs),Bootcamp/Self-taught,Research|Ethics Frameworks|Communication|Research|Problem Solving|Cloud,Research,Hybrid,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0031,NLP Engineer,AI Engineering,Lead (10+ yrs),PhD,LLMs|Transformers|BERT|Hugging Face|Agile|Problem Solving,Media,On-site,Big Tech (FAANG+),Elite (>$300k),AI Engineering (Kaggle)
JOB0032,AI Infrastructure Eng,Infrastructure,Lead (10+ yrs),Bachelor's,Networking|Kubernetes|CUDA|Distributed Systems|Storage|Cloud|Leadership|Statistics|Cloud,Research,Hybrid,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0033,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),Master's,CUDA|GPU Computing|TensorFlow|Python|Neural Networks|Communication|Statistics,Healthcare,Hybrid,Startup (1-50),Mid ($100-150k),AI Engineering (Kaggle)
JOB0034,AI Infrastructure Eng,Infrastructure,Entry (0-2 yrs),Bachelor's,Distributed Systems|CUDA|Kubernetes|Cloud|Networking|Storage|Git,Government,Hybrid,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0035,Senior ML Engineer,AI Engineering,Lead (10+ yrs),Associate's,MLOps|Distributed Systems|System Design|LLM Fine-tuning|PyTorch|Python|Problem Solving|SQL|Git,Automotive,Hybrid,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle)
JOB0036,AI Engineer,AI Engineering,Lead (10+ yrs),PhD,Cloud (AWS/GCP/Azure)|PyTorch|Python|Docker|LLM Integration|Problem Solving|Communication|Cloud,Finance,Hybrid,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0037,MLOps Engineer,ML Operations,Senior (6-9 yrs),Bootcamp/Self-taught,Monitoring|CI/CD|Docker|Cloud|Kubernetes|Problem Solving,Technology,Fully Remote,Big Tech (FAANG+),Mid ($100-150k),AI Engineering (Kaggle)
JOB0038,AI Business Analyst,Business,Senior (6-9 yrs),Associate's,Data Visualization|Communication|Python|Problem Solving,Government,Hybrid,Startup (1-50),Entry (<$100k),AI Engineering (Kaggle)
JOB0039,Data Scientist,Data Science,Lead (10+ yrs),Bootcamp/Self-taught,Scikit-learn|Python|SQL|Statistics|Git,Government,Fully Remote,Mid-size (501-5000),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0040,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),Bootcamp/Self-taught,GPU Computing|PyTorch|TensorFlow|CUDA|Neural Networks|SQL,Consulting,Hybrid,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle)
JOB0041,NLP Engineer,AI Engineering,Entry (0-2 yrs),Master's,LLMs|Text Processing|Hugging Face|Python|Transformers|Linux|Cloud|Communication,Energy,Hybrid,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0042,AI Product Manager,Product,Entry (0-2 yrs),PhD,Data Analysis|Agile|Product Strategy|AI Literacy|Stakeholder Mgmt|Statistics|Leadership,Media,Hybrid,Mid-size (501-5000),Mid ($100-150k),AI Engineering (Kaggle)
JOB0043,NLP Engineer,AI Engineering,Senior (6-9 yrs),Bootcamp/Self-taught,Text Processing|Transformers|LLMs|Python|BERT|Hugging Face|Research,Finance,Hybrid,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0044,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),Associate's,Distributed Systems|LLM Fine-tuning|MLOps|PyTorch|System Design|SQL|Git|Communication,Consulting,Hybrid,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle)
JOB0045,AI Infrastructure Eng,Infrastructure,Mid (3-5 yrs),PhD,Cloud|CUDA|Storage|Kubernetes|Distributed Systems|Communication,Media,Hybrid,Enterprise (5000+),Senior ($200-300k),AI Engineering (Kaggle)
JOB0046,RAG Engineer,AI Engineering,Mid (3-5 yrs),Master's,LLMs|Python|Embeddings|Vector DBs|Search Systems|LangChain|Statistics|Agile,Consulting,Fully Remote,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0047,Data Scientist,Data Science,Senior (6-9 yrs),Associate's,Python|Scikit-learn|SQL|ML Algorithms|Data Visualization|Research|Agile|Communication,Energy,Fully Remote,Enterprise (5000+),Mid ($100-150k),AI Engineering (Kaggle)
JOB0048,Multimodal AI Engineer,AI Engineering,Entry (0-2 yrs),PhD,PyTorch|Vision-Language Models|Python|APIs|Fine-tuning|Cloud|Linux|Communication,Healthcare,Fully Remote,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0049,Computer Vision Engineer,AI Engineering,Senior (6-9 yrs),Bachelor's,OpenCV|CNNs|PyTorch|Python|SQL|Agile,Media,On-site,Mid-size (501-5000),Senior ($200-300k),AI Engineering (Kaggle)
JOB0050,Data Engineer (AI),Data Engineering,Lead (10+ yrs),Bachelor's,dbt|Spark|Python|Airflow|SQL|Cloud|Git,Healthcare,On-site,SME (51-500),Senior ($200-300k),AI Engineering (Kaggle)
JOB0051,Senior Data Scientist,Data Science,Senior (6-9 yrs),Associate's,Leadership|Python|ML|Causal Inference|Advanced Statistics|Deep Learning|Statistics,Automotive,Hybrid,Enterprise (5000+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0052,AI Agent Developer,AI Engineering,Lead (10+ yrs),PhD,Python|LangChain|APIs|Tool Use|Planning Systems|AutoGen|Problem Solving,Automotive,On-site,Startup (1-50),Senior ($200-300k),AI Engineering (Kaggle)
JOB0053,AI Compliance Manager,Governance,Entry (0-2 yrs),PhD,Auditing|Documentation|EU AI Act|SQL,Healthcare,On-site,Big Tech (FAANG+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0054,Senior Data Scientist,Data Science,Entry (0-2 yrs),Bachelor's,ML|Deep Learning|Advanced Statistics|SQL|Leadership|Agile,Education,Hybrid,Big Tech (FAANG+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0055,AI Ethics Officer,Governance,Entry (0-2 yrs),PhD,Ethics Frameworks|Research|Risk Assessment|Leadership|Agile|Research,Media,Hybrid,Startup (1-50),Mid ($100-150k),AI Engineering (Kaggle)
JOB0056,Generative AI Engineer,AI Engineering,Lead (10+ yrs),Master's,Diffusion Models|Deployment|Python|GenAI APIs|Fine-tuning|LLMs|Agile|Statistics|Linux,Consulting,Fully Remote,Enterprise (5000+),Elite (>$300k),AI Engineering (Kaggle)
JOB0057,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),Associate's,Feature Stores|Python|Airflow|SQL|dbt|SQL|Agile,Energy,Hybrid,Big Tech (FAANG+),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0058,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),PhD,ETL|dbt|Feature Stores|Python|SQL|Spark|Linux,Retail,Fully Remote,Mid-size (501-5000),Mid ($100-150k),AI Engineering (Kaggle)
JOB0059,Multimodal AI Engineer,AI Engineering,Mid (3-5 yrs),Bachelor's,APIs|Fine-tuning|Vision-Language Models|Linux|Statistics,Retail,Fully Remote,Startup (1-50),Upper-Mid ($150-200k),AI Engineering (Kaggle)
JOB0060,AI Compliance Manager,Governance,Entry (0-2 yrs),PhD,Auditing|Legal Knowledge|Risk Management|Documentation|Leadership,Finance,Hybrid,Startup (1-50),Entry (<$100k),AI Engineering (Kaggle)
JOB0061,ML Engineer,AI Engineering,Entry (0-2 yrs),Bachelor's,TensorFlow|SQL|Kubernetes|Python|Research,Research,Hybrid,Enterprise (5000+),Mid ($100-150k),AI Engineering (Kaggle)
JOB0062,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),Bootcamp/Self-taught,dbt|Airflow|ETL|Feature Stores|SQL|Cloud|Agile|Git,Government,On-site,Enterprise (5000+),Mid ($100-150k),AI Engineering (Kaggle)
